climbing_session_id,member_id,scan_in_datetime,scan_out_datetime
1,1,2024/05/16 22:24:04,2024/05/17 3:12:04
2,3,2024/05/31 8:14:56,2024/05/31 13:02:56
3,4,2024/05/19 4:55:38,2024/05/19 7:19:38
4,5,2024/05/19 4:08:16,2024/05/19 6:32:16
5,43,2024/01/10 2:25:02,2024/01/10 4:49:02
6,4,2024/09/07 21:55:56,2024/09/08 0:19:56
7,22,2024/01/21 12:44:12,2024/01/21 15:08:12
8,2,2024/03/19 16:02:02,2024/03/19 20:50:02
9,5,2024/08/25 2:57:47,2024/08/25 7:45:47
10,43,2023/12/30 15:25:37,2023/12/30 17:49:37
11,5,2024/08/03 17:41:16,2024/08/03 22:29:16
12,5,2024/12/05 4:38:34,2024/12/05 7:02:34
13,9,2024/03/18 1:24:55,2024/03/18 6:12:55
14,6,2024/03/24 6:52:11,2024/03/24 11:40:11
15,43,2024/10/13 0:09:25,2024/10/13 4:57:25
16,29,2024/10/04 2:34:43,2024/10/04 7:22:43
17,34,2024/11/03 11:46:50,2024/11/03 16:34:50
18,43,2024/02/29 9:08:40,2024/02/29 11:32:40
19,3,2024/03/12 15:22:38,2024/03/12 17:46:38
20,23,2024/05/11 16:24:01,2024/05/11 21:12:01
21,41,2024/03/21 23:45:17,2024/03/22 4:33:17
22,12,2024/04/23 21:44:31,2024/04/24 2:32:31
23,14,2024/04/03 20:48:32,2024/04/03 23:12:32
24,15,2024/10/26 13:44:59,2024/10/26 16:08:59
25,13,2024/05/27 13:58:59,2024/05/27 16:22:59
26,14,2024/02/13 18:26:22,2024/02/13 20:50:22
27,34,2024/07/27 10:23:00,2024/07/27 15:11:00
28,3,2024/08/15 22:52:07,2024/08/16 3:40:07
29,23,2024/05/05 7:37:32,2024/05/05 10:01:32
30,36,2024/09/22 6:09:33,2024/09/22 8:33:33
31,7,2023/12/29 23:05:08,2023/12/30 1:29:08
32,17,2024/03/10 14:28:31,2024/03/10 16:52:31
33,34,2024/11/22 16:26:29,2024/11/22 18:50:29
34,46,2024/12/20 12:06:22,2024/12/20 14:30:22
35,9,2024/09/06 2:40:10,2024/09/06 5:04:10
36,17,2024/11/23 12:23:39,2024/11/23 14:47:39
37,13,2024/01/20 16:37:08,2024/01/20 19:01:08
38,9,2024/07/06 5:12:43,2024/07/06 10:00:43
39,28,2024/06/10 23:16:39,2024/06/11 1:40:39
40,41,2024/01/09 9:36:12,2024/01/09 12:00:12
41,49,2024/04/13 7:47:24,2024/04/13 10:11:24
42,5,2024/03/11 15:50:56,2024/03/11 20:38:56
43,34,2024/01/08 18:03:59,2024/01/08 20:27:59
44,38,2024/03/02 18:38:59,2024/03/02 21:02:59
45,4,2024/01/03 16:59:55,2024/01/03 21:47:55
46,8,2024/04/19 3:52:59,2024/04/19 8:40:59
47,35,2024/08/26 22:37:18,2024/08/27 3:25:18
48,21,2024/07/10 16:41:57,2024/07/10 21:29:57
49,36,2024/01/02 11:26:54,2024/01/02 16:14:54
50,30,2024/09/12 11:18:09,2024/09/12 16:06:09
51,25,2024/06/05 14:18:18,2024/06/05 19:06:18
52,5,2024/02/02 14:52:10,2024/02/02 19:40:10
53,29,2024/08/08 12:08:21,2024/08/08 16:56:21
54,16,2024/10/21 19:37:35,2024/10/22 0:25:35
55,34,2024/06/11 2:15:32,2024/06/11 7:03:32
56,42,2024/02/18 9:07:25,2024/02/18 11:31:25
57,21,2024/09/09 12:32:51,2024/09/09 14:56:51
58,37,2024/11/03 8:51:12,2024/11/03 11:15:12
59,12,2024/01/07 6:42:35,2024/01/07 11:30:35
60,26,2024/06/13 7:35:36,2024/06/13 12:23:36
61,2,2024/08/03 4:00:28,2024/08/03 6:24:28
62,37,2024/01/04 7:11:43,2024/01/04 9:35:43
63,11,2024/03/01 4:02:41,2024/03/01 6:26:41
64,36,2024/11/25 14:53:14,2024/11/25 17:17:14
65,32,2024/09/08 3:54:45,2024/09/08 6:18:45
66,12,2024/09/06 9:04:40,2024/09/06 11:28:40
67,23,2024/06/17 13:49:07,2024/06/17 18:37:07
68,35,2024/07/18 22:48:27,2024/07/19 3:36:27
69,34,2024/04/21 18:44:57,2024/04/21 23:32:57
70,42,2024/09/12 10:17:25,2024/09/12 12:41:25
71,10,2024/10/13 13:02:13,2024/10/13 15:26:13
72,12,2024/02/01 21:31:20,2024/02/02 2:19:20
73,18,2024/06/04 17:39:46,2024/06/04 20:03:46
74,14,2024/06/01 2:08:11,2024/06/01 4:32:11
75,17,2024/03/11 11:17:48,2024/03/11 16:05:48
76,4,2024/07/22 15:11:55,2024/07/22 17:35:55
77,42,2024/12/08 17:02:07,2024/12/08 19:26:07
78,22,2024/07/03 17:50:38,2024/07/03 20:14:38
79,4,2024/03/03 9:43:59,2024/03/03 14:31:59
80,2,2024/03/19 4:05:58,2024/03/19 6:29:58
81,36,2024/11/19 11:39:03,2024/11/19 14:03:03
82,9,2024/11/30 5:17:24,2024/11/30 7:41:24
83,32,2024/07/29 0:27:10,2024/07/29 2:51:10
84,2,2024/03/18 13:14:07,2024/03/18 18:02:07
85,13,2024/01/12 20:10:29,2024/01/13 0:58:29
86,49,2024/11/08 21:44:07,2024/11/09 2:32:07
87,35,2024/09/18 14:25:27,2024/09/18 19:13:27
88,16,2024/01/22 22:19:23,2024/01/23 0:43:23
89,8,2024/09/15 20:37:00,2024/09/16 1:25:00
90,36,2024/03/19 12:56:03,2024/03/19 15:20:03
91,31,2024/07/07 23:24:21,2024/07/08 1:48:21
92,49,2024/06/25 0:06:08,2024/06/25 2:30:08
93,12,2024/03/31 20:09:02,2024/04/01 0:57:02
94,6,2024/10/13 3:31:59,2024/10/13 8:19:59
95,3,2024/11/17 1:18:14,2024/11/17 6:06:14
96,20,2024/05/27 1:30:50,2024/05/27 6:18:50
97,38,2024/08/26 9:03:56,2024/08/26 13:51:56
98,42,2024/04/18 16:19:57,2024/04/18 18:43:57
99,19,2024/07/09 13:26:36,2024/07/09 18:14:36
100,46,2024/11/02 14:57:04,2024/11/02 19:45:04
101,23,2024/10/07 10:20:48,2024/10/07 15:08:48
102,13,2024/12/09 1:58:28,2024/12/09 6:46:28
103,16,2024/03/30 15:32:12,2024/03/30 20:20:12
104,29,2024/04/18 8:41:19,2024/04/18 13:29:19
105,18,2024/04/19 14:11:35,2024/04/19 16:35:35
106,5,2024/08/04 14:25:25,2024/08/04 16:49:25
107,8,2024/09/07 6:02:56,2024/09/07 8:26:56
108,47,2024/09/21 23:44:11,2024/09/22 4:32:11
109,22,2024/10/21 21:16:30,2024/10/21 23:40:30
110,8,2024/05/03 12:27:26,2024/05/03 17:15:26
111,36,2024/07/30 22:23:20,2024/07/31 0:47:20
112,11,2024/06/21 22:22:53,2024/06/22 0:46:53
113,41,2024/07/29 2:48:32,2024/07/29 5:12:32
114,18,2024/05/18 8:05:37,2024/05/18 10:29:37
115,46,2024/05/13 12:38:23,2024/05/13 17:26:23
116,16,2024/02/19 10:08:10,2024/02/19 12:32:10
117,14,2024/01/09 9:51:37,2024/01/09 12:15:37
118,40,2024/02/07 2:39:20,2024/02/07 7:27:20
119,25,2024/05/10 22:14:31,2024/05/11 0:38:31
120,33,2024/03/08 3:48:44,2024/03/08 8:36:44
121,9,2024/03/29 20:31:09,2024/03/29 22:55:09
122,21,2024/09/14 10:39:05,2024/09/14 13:03:05
123,7,2024/06/20 19:51:11,2024/06/21 0:39:11
124,11,2024/06/04 5:49:00,2024/06/04 8:13:00
125,6,2024/09/14 4:48:26,2024/09/14 7:12:26
126,7,2024/10/08 20:16:23,2024/10/08 22:40:23
127,12,2024/05/22 8:40:02,2024/05/22 13:28:02
128,4,2024/08/08 7:15:16,2024/08/08 9:39:16
129,32,2024/03/17 4:22:29,2024/03/17 9:10:29
130,18,2024/02/10 8:26:00,2024/02/10 13:14:00
131,43,2024/02/08 0:12:39,2024/02/08 2:36:39
132,23,2024/02/06 4:10:55,2024/02/06 6:34:55
133,4,2024/08/02 4:42:46,2024/08/02 9:30:46
134,10,2024/02/26 19:11:32,2024/02/26 21:35:32
135,35,2024/09/16 20:38:09,2024/09/16 23:02:09
136,33,2024/11/26 23:28:21,2024/11/27 4:16:21
137,48,2024/07/13 22:06:44,2024/07/14 0:30:44
138,2,2024/02/15 19:39:31,2024/02/15 22:03:31
139,11,2024/02/15 1:13:49,2024/02/15 6:01:49
140,2,2024/06/25 13:19:22,2024/06/25 15:43:22
141,4,2024/11/26 14:34:49,2024/11/26 16:58:49
142,24,2024/08/15 0:52:12,2024/08/15 3:16:12
143,7,2024/12/09 1:29:18,2024/12/09 3:53:18
144,18,2024/04/18 9:37:37,2024/04/18 12:01:37
145,23,2024/08/17 17:48:56,2024/08/17 20:12:56
146,22,2024/08/21 9:35:05,2024/08/21 11:59:05
147,4,2024/11/30 6:28:01,2024/11/30 8:52:01
148,1,2024/01/07 0:18:05,2024/01/07 5:06:05
149,43,2024/06/03 9:04:29,2024/06/03 11:28:29
150,4,2024/12/04 18:26:26,2024/12/04 23:14:26
151,19,2023/12/25 6:23:11,2023/12/25 8:47:11
152,39,2024/03/13 20:40:45,2024/03/14 1:28:45
153,35,2024/10/18 14:07:01,2024/10/18 18:55:01
154,4,2024/12/07 21:10:23,2024/12/07 23:34:23
155,33,2024/10/26 10:16:40,2024/10/26 12:40:40
156,39,2024/03/19 9:49:33,2024/03/19 14:37:33
157,17,2024/03/13 18:30:53,2024/03/13 20:54:53
158,6,2024/11/16 10:56:20,2024/11/16 13:20:20
159,36,2024/08/19 7:35:03,2024/08/19 12:23:03
160,44,2024/09/28 11:12:20,2024/09/28 13:36:20
161,27,2024/08/16 11:57:42,2024/08/16 14:21:42
162,38,2024/11/02 15:51:43,2024/11/02 20:39:43
163,41,2024/07/05 2:16:22,2024/07/05 7:04:22
164,5,2024/07/18 8:09:49,2024/07/18 10:33:49
165,4,2024/05/24 15:46:34,2024/05/24 20:34:34
166,33,2024/09/04 14:45:43,2024/09/04 17:09:43
167,46,2024/05/30 1:46:45,2024/05/30 6:34:45
168,40,2023/12/28 23:11:20,2023/12/29 3:59:20
169,20,2024/10/10 19:18:06,2024/10/10 21:42:06
170,39,2024/09/14 10:45:13,2024/09/14 13:09:13
171,40,2023/12/30 8:47:24,2023/12/30 13:35:24
172,26,2024/05/06 1:52:39,2024/05/06 6:40:39
173,31,2024/04/18 9:05:50,2024/04/18 11:29:50
174,6,2024/09/13 4:11:40,2024/09/13 6:35:40
175,5,2024/11/08 8:58:30,2024/11/08 11:22:30
176,35,2024/02/27 15:18:16,2024/02/27 17:42:16
177,32,2024/03/28 4:03:38,2024/03/28 6:27:38
178,14,2024/09/13 11:57:21,2024/09/13 16:45:21
179,14,2024/09/07 3:56:46,2024/09/07 6:20:46
180,17,2024/09/23 3:49:34,2024/09/23 6:13:34
181,7,2024/07/20 21:28:25,2024/07/20 23:52:25
182,30,2024/05/13 11:31:50,2024/05/13 16:19:50
183,5,2024/11/26 3:29:38,2024/11/26 8:17:38
184,17,2024/06/10 21:19:10,2024/06/10 23:43:10
185,10,2024/02/08 9:43:48,2024/02/08 12:07:48
186,22,2024/02/01 16:58:32,2024/02/01 21:46:32
187,48,2024/03/26 23:35:20,2024/03/27 4:23:20
188,20,2024/10/04 16:30:21,2024/10/04 18:54:21
189,47,2024/12/13 3:57:57,2024/12/13 6:21:57
190,35,2023/12/25 7:17:08,2023/12/25 9:41:08
191,14,2024/02/12 12:50:17,2024/02/12 15:14:17
192,45,2024/04/10 22:09:33,2024/04/11 2:57:33
193,9,2024/12/12 10:51:01,2024/12/12 15:39:01
194,7,2024/04/11 17:37:34,2024/04/11 20:01:34
195,45,2024/09/27 12:55:05,2024/09/27 15:19:05
196,38,2024/04/03 15:49:49,2024/04/03 20:37:49
197,20,2024/06/27 0:16:24,2024/06/27 5:04:24
198,15,2024/09/23 15:44:26,2024/09/23 18:08:26
199,35,2024/09/16 3:21:32,2024/09/16 5:45:32
200,30,2024/11/19 12:16:17,2024/11/19 17:04:17